case_id,domain,type,reason
"BQ0001","客户域","query_single","答案未提供具体数值或可验证的数据来源，仅给出业务定义和笼统的建档事实，无法确认是否准确回答了查询。缺少实际数据支撑，无法判定正确性。"
"BQ0004","客户域","query_single","答案声称钻石会员80人，但未提供具体数据来源或计算依据，且引用计数为2但未展示引用内容，无法验证事实准确性。"
"BQ0010","客户域","query_single","答案声称实际到店客户为0人，但未提供任何数据来源或计算依据，无法验证其准确性。题目要求查询Customer表，但答案未展示具体查询过程或引用数据，因此证据不足。"
"BQ0044","客户域","query_cross","答案声称有28名新增客户和3名完成第二次消费，但仅列出3条明细，未提供全部28名客户的数据或统计依据。无法验证总数28和3的准确性，且缺少对跨表查询（Customer×CustomerCard×ProductOrder）的完整数据支撑。因此，证据不足，无法判定为完整或事实充分。"
"BQ0045","客户域","query_cross","答案声称基于项目购买客户与有效订单消费事实，但未提供具体数据表或查询依据，无法验证项目客户数、平均消费等数值的准确性。"
"BQ0046","客户域","query_cross","回答声称有91人，但仅列出10条明细，且未提供任何数据源或查询依据，无法验证总数和明细的准确性。"
"BQ0047","客户域","query_cross","答案声称有105名金卡会员未到店，并列出10名客户及消费和最近到店日期，但未提供任何数据源或计算依据，无法验证这些数值和名单的真实性。"
"BQ0086","客户域","analysis","回答声称期间活跃客户为0人，但未提供任何具体数据或计算依据，无法验证其准确性。同时，回答未包含客户画像分析所需的关键维度（如年龄、性别、消费偏好等），且引用依据仅为笼统的'期间活跃客户会员等级分布事实'，缺乏具体数值支撑。因此，无法判断回答是否完整或事实是否充分。"
"BQ0087","客户域","analysis","回答结构完整，但所有数值均为0，且未提供任何实际数据或引用依据，无法验证其真实性。缺少具体订单数据或来源，无法判断是否准确反映新老客消费对比。"
"BQ0089","客户域","analysis","回答未提供具体客户画像数据或分析，仅说明无数据，无法验证目标对齐和完整性。"
"BQ0090","客户域","analysis","答案仅给出客单价数值和口径版本，但未提供计算过程或数据来源，无法验证数值准确性。且未说明客户画像分析的具体维度，完整性不足。"
"BQ0121","客户域","risk","回答提供了高价值未到店客户名单及排名，但未提供具体查询SQL或数据来源，无法验证其准确性。且未说明筛选条件（如累计消费>=5000元）的具体执行，以及是否包含所有符合条件的客户。"
"BQ0122","客户域","risk","答案提供了余额偏高客户数量、阈值和排行，但未提供具体数据源或计算依据，无法验证305人及阈值的准确性。"
"BQ0123","客户域","risk","答案提供了客户排名和评分，但未提供具体计算依据或数据来源，无法验证评分100的准确性。引用仅提及业务定义，缺乏具体数值标准，因此证据不足。"
"BQ0124","客户域","risk","回答提供了钻石会员未到店名单及排行，但未提供具体查询SQL或数据来源，无法验证数据准确性。且未说明统计口径（如是否包含从未到店客户），无法确认完整性。"
"BQ0127","客户域","risk","答案提供了客户风险巡检的消费下降客户列表，但未提供具体计算过程或数据源验证，无法确认下降比例和客户数量是否准确。"
