case_id,domain,type,reason
"BQ0001","客户域","query_single","答案未提供具体数值，仅描述定义，无法验证是否准确回答查询。引用数2但未提供实际数据来源，无法确认事实依据。"
"BQ0004","客户域","query_single","答案声称钻石会员80人，但未提供具体数据来源或计算依据，且citationCount为2但未给出引用内容，无法验证数值真实性。"
"BQ0010","客户域","query_single","答案声称实际到店客户为0人，但未提供任何数据来源或计算依据，无法验证其准确性。仅引用'客户到店事实'，缺乏具体数据支撑，因此无法判断是否完整或正确。"
"BQ0044","客户域","query_cross","答案声称新增客户28人、完成第二次消费3人，并列出3条明细，但未提供任何可验证的原始数据或计算依据。无法确认这些数字是否准确，也无法核实明细中的客户信息、日期和订单数是否与真实数据一致。因此，缺乏足够的证据来判定答案的正确性。"
"BQ0045","客户域","query_cross","答案声称基于数据，但未提供可验证的查询逻辑或原始数据，且数值（如平均消费、平均订单金额）无法从明细中直接推导，缺少标准答案依据。"
"BQ0046","客户域","query_cross","回答声称有91人，但仅列出10条明细，且未提供任何数据源或查询依据，无法验证总数和明细的准确性。"
"BQ0047","客户域","query_cross","答案声称有105名金卡会员未到店，并列出10名客户及消费和最近到店日期，但未提供任何数据源或计算依据，无法验证这些数值和名单的准确性。"
"BQ0086","客户域","analysis","回答声称期间活跃客户为0人，但未提供任何具体数据或计算依据，无法验证其准确性。同时，回答未包含客户画像分析所需的具体维度（如年龄、性别、消费偏好等），仅给出空泛结论，缺乏事实支撑。"
"BQ0087","客户域","analysis","回答结构完整，但所有数值均为0，且未提供任何可验证的原始数据或计算依据，无法确认其真实性。缺少具体订单数据、时间范围定义及数据来源，无法判断是否准确反映新老客消费对比。"
"BQ0089","客户域","analysis","回答未提供具体客户画像分析数据，仅说明无数据，无法验证目标对齐和完整性。"
"BQ0090","客户域","analysis","答案仅给出客单价数值和口径版本，但未提供计算过程或数据来源，无法验证数值准确性；且未涉及客户画像分析的其他维度，如客户特征、偏好等，完整性不足。"
"BQ0121","客户域","risk","回答提供了高价值未到店客户名单及排序，但未提供具体计算过程或数据源引用，无法验证客户数量、消费金额和未到店天数的准确性。"
"BQ0122","客户域","risk","答案提供了余额偏高客户数量、阈值和排行，但未提供具体数据源或计算依据，无法验证305人及余额数值的准确性。"
"BQ0123","客户域","risk","答案提供了客户排名和评分，但未提供具体计算依据或数据来源，无法验证评分的准确性。引用仅提及业务定义，缺乏可核查的数值标准，因此证据不足。"
"BQ0124","客户域","risk","回答提供了钻石会员未到店名单及排行，但未提供具体查询SQL或数据来源，无法验证数据准确性。且未说明统计时间点，无法确认inactiveDays计算是否正确。"
"BQ0127","客户域","risk","答案提供了客户风险巡检的消费下降客户列表，但未提供具体计算过程或原始数据，无法验证下降比例、订单数等数值的准确性。同时，缺少对风险提示的明确说明，且未引用具体数据来源。"
"BQ0181","客户域","prediction","答案提供了60天未到店客户数量及明细，但未提供计算依据或数据来源，无法验证其准确性。"
"BQ0182","客户域","prediction","答案提供了60天未到店客户总数及前10名明细，但未提供完整名单或验证依据。无法核实总数1185是否准确，且缺少预测快照的复用说明。"
"BQ0183","客户域","prediction","答案提供了预测快照的排序和字段，但无法验证批次#80、评分值及客户信息是否真实存在，且未提供可核对的引用依据。"
