case_id,domain,type,reason
"BQ0001","客户域","query_single","答案未提供具体数值，仅描述定义，无法验证是否准确回答查询。"
"BQ0004","客户域","query_single","答案声称钻石会员80人，但未提供具体数据来源或计算依据，且引用数量不足，无法验证事实准确性。"
"BQ0010","客户域","query_single","答案声称实际到店客户为0人，但未提供任何数据来源或计算依据，无法验证其真实性。问题要求查询Customer表，但答案未展示具体查询过程或数据引用，因此证据不足。"
"BQ0044","客户域","query_cross","答案声称新增客户28人、完成第二次消费3人，并列出3名客户明细，但未提供任何可验证的数据源或计算过程。无法确认这些数字是否准确，也无法核实客户明细是否真实存在。因此，缺乏足够的证据来评估答案的正确性。"
"BQ0045","客户域","query_cross","答案提供了项目客户数、平均消费和平均订单金额，并列出10名客户明细，但未提供具体计算过程或数据来源表，无法验证数值准确性。且缺少标准答案，无法判断是否完整。"
"BQ0046","客户域","query_cross","回答声称有91人，但仅列出10条明细，且未提供任何数据源或查询依据，无法验证总数和明细的准确性。"
"BQ0047","客户域","query_cross","答案声称有105名金卡会员未到店，并列出10名客户及消费和最近到店日期，但未提供任何数据源或计算依据，无法验证这些数值和名单的真实性。"
"BQ0086","客户域","analysis","回答声称期间活跃客户为0人，但未提供具体数据来源或计算依据，无法验证其准确性。同时，缺少客户画像分析所需的关键维度（如年龄、性别、消费偏好等），且未引用任何可核查的数据或标准。"
"BQ0087","客户域","analysis","回答结构完整，但所有数值均为0，且未提供任何实际数据或引用来源，无法验证其真实性。缺少具体订单数据或系统依据，无法确认新老客对比的准确性。"
"BQ0089","客户域","analysis","回答未提供具体客户画像分析数据，仅说明无数据，无法验证事实依据。"
"BQ0090","客户域","analysis","答案仅给出客单价数值和口径版本，但未提供计算过程或数据来源，无法验证数值准确性；且未包含客户画像分析所需的其他维度（如年龄、性别、消费频次等），信息不完整。"
"BQ0121","客户域","risk","回答提供了高价值未到店客户名单及排序，但未提供具体计算过程或数据源引用，无法验证客户数量、消费金额和未到店天数的准确性。"
"BQ0122","客户域","risk","答案提供了余额偏高客户数量、阈值和排行，但未提供具体数据源或计算依据，无法验证305人及余额数值的真实性。"
"BQ0123","客户域","risk","答案提供了客户排名和评分，但未提供计算依据或数据来源，无法验证评分100的准确性。引用仅提及业务定义，缺乏具体标准数值，因此证据不足。"
"BQ0124","客户域","risk","回答提供了钻石会员未到店名单及排行，但未提供具体数据来源或计算依据，无法验证inactiveDays和累计消费等数值的准确性。"
"BQ0127","客户域","risk","答案提供了客户风险巡检的排名和数量，但未提供具体计算过程或数据源引用，无法验证消费金额下降比例和客户数量是否准确。"
"BQ0181","客户域","prediction","答案提供了60天未到店客户数量及明细，但未提供计算依据或数据来源，无法验证其准确性。"
"BQ0182","客户域","prediction","答案提供了60天未到店客户总数及前10名明细，但未提供完整名单或验证依据，且无法核实数据来源和计算准确性。"
"BQ0183","客户域","prediction","答案提供了预测快照的排序和字段，但无法验证批次#80、评分值及客户信息是否真实存在，且未提供可核对的引用依据。"
"BQ0184","客户域","prediction","回答正确识别了目标CustomerPredictionSnapshot，并因同名客户未唯一确认而拒绝返回预测值，符合预期。但无法验证批次#80、rules-v2.1及5位同名客户的具体数据，缺少可核实的标准数值，故判定证据不足。"
"BQ0185","客户域","prediction","答案提供了按marketingResponseScore降序的客户排行，但未提供具体数据源或验证依据，无法确认批次#80和分数准确性，且缺少必要的引用。因此无法验证事实，判定证据不足。"
"BQ0241","员工域","query_single","回答声称有6名在职美容师并列出明细，但未提供任何具体数据来源或可验证的数值依据。无法确认员工目录、职级、排班等事实是否真实存在，因此无法验证答案的正确性。"
"BQ0242","员工域","query_single","答案仅给出员工姓名和职级，未提供排班、请假等具体数据，且未引用任何数据表或标准数值，无法验证其准确性。"
"BQ0243","员工域","query_single","无法验证排班数据的真实性，缺少标准数值或数据源引用。"
"BQ0244","员工域","query_single","答案提供了员工排班数量，但未提供具体数据来源或计算依据，无法验证数值准确性。且未明确说明排班统计的时间范围或条件，缺少可核实的标准数值。"
"BQ0276","员工域","query_cross","答案声称顾然服务客户数为0，但未提供任何具体数据或计算依据，无法验证其准确性。缺少必要的员工服务任务和佣金记录数据，无法确认该数值是否真实。因此，证据不足，无法判定为通过。"
"BQ0277","员工域","query_cross","答案提供了排行但所有业绩实收均为0.00，且未提供具体数值依据或引用标准数据，无法验证正确性。缺少逐题标准数值，无法判断是否完整或准确。"
"BQ0278","员工域","query_cross","答案声称所有6位美容师提成均为0.00元，但未提供任何具体数据或计算依据，无法验证其准确性。引用仅提及业务定义和分析，未给出实际数值来源，因此证据不足。"
